,Topic,Word,Frequency
0,0,artikolu,0.016040528
1,0,it,0.006532767
2,0,jista,0.0060271216
3,0,kummissjoni,0.004717321
4,0,bil,0.004422411
5,0,tad,0.0043276073
6,0,regolament,0.0037971975
7,0,membri,0.0035001393
8,0,xogħol,0.003277788
9,0,saħħa,0.003137499
10,0,istati,0.0027701568
11,0,fid,0.0026807159
12,0,ewropea,0.0025453458
13,0,kumitat,0.0024871756
14,0,mal,0.0024671291
15,0,partikolari,0.0023481774
16,0,ministru,0.002183818
17,0,tigi,0.0021774287
18,0,għas,0.0021554707
19,0,tat,0.002117204
20,0,informazzjoni,0.0021134068
21,0,direttiva,0.0021094147
22,0,fit,0.0020709669
23,0,jigi,0.0020479576
24,0,sena,0.0020279298
25,0,membru,0.0019151281
26,0,punt,0.0018918131
27,0,qorti,0.0018442807
28,0,paragrafu,0.0018355933
29,0,persuna,0.0018160348
30,0,nazzjonali,0.0017972033
31,0,mizuri,0.001786771
32,0,tista,0.0016598094
33,0,ix,0.0016288025
34,0,kunsill,0.0015639941
35,0,rapport,0.0015575143
36,0,test,0.0015535585
37,0,ħaga,0.0015494961
38,0,ewropew,0.0015193949
39,0,izda,0.0014642971
40,0,gvern,0.0014450424
41,0,applikazzjoni,0.0014367404
42,0,parti,0.0013450622
43,0,gunju,0.0013312217
44,0,decizjoni,0.0013232369
45,0,nru,0.0013213145
46,0,unjoni,0.0013175164
47,0,kollu,0.0013154009
48,0,procedura,0.0013049985
49,0,numru,0.0012833367
50,0,kamra,0.0012809953
51,0,jigu,0.0012576164
52,0,japplika,0.0012361977
53,0,the,0.0012346854
54,0,servizz,0.0012338383
55,0,jgħid,0.00122236
56,0,għat,0.0012217853
57,0,ke,0.0012091661
58,0,generali,0.0011988791
59,0,rigward,0.0011836765
60,0,istat,0.0011814232
61,0,malta,0.0011811613
62,0,ligi,0.001179301
63,0,jkollhom,0.0011678166
64,0,tac,0.001146745
65,0,president,0.0011438384
66,0,zmien,0.0011313306
67,0,awtoritajiet,0.0011298093
68,0,fir,0.0011297093
69,0,tieni,0.001117626
70,0,ftehim,0.0010970188
71,0,jagħtu,0.0010622408
72,0,prodotti,0.0010585628
73,0,sal,0.001050225
74,0,jannar,0.0010495208
75,0,kummerc,0.0010417039
76,0,talba,0.0010376417
77,0,data,0.0010354938
78,0,bazi,0.0010169193
79,0,gdid,0.0010164123
80,0,sigurta,0.0009990889
81,0,livell,0.0009887321
82,0,gew,0.0009855657
83,0,awtorita,0.00096501375
84,0,azzjoni,0.0009438026
85,0,jintuzaw,0.00094052934
86,0,pubbliku,0.00093775516
87,0,izvilupp,0.0009354057
88,0,annimali,0.00092250755
89,0,ministeru,0.0009160298
90,0,perjodu,0.0009132402
91,0,differenti,0.0008996957
92,0,anness,0.00089951494
93,0,ikel,0.00089405285
94,0,servizzi,0.00089263526
95,0,parlament,0.00089186564
96,0,regoli,0.00088733045
97,0,regolamenti,0.00088528305
98,0,rilevanti,0.0008824794
99,0,diga,0.00087873294
100,0,sentenza,0.0008763389
101,0,ezami,0.0008754028
102,0,energija,0.0008723484
103,0,pajjiz,0.00087183935
104,0,socjali,0.0008679487
105,0,kaz,0.00086686393
106,0,msemmija,0.0008629938
107,0,barra,0.0008612662
108,0,bord,0.00086045533
109,0,kontra,0.00085981784
110,0,direttament,0.00084931345
111,0,meħtiega,0.0008437095
112,0,dokumenti,0.00083602424
113,0,għad,0.00083394884
114,0,lulju,0.0008287727
115,0,ħlas,0.00082844344
116,0,onor,0.0008263331
117,0,għan,0.0008256221
118,0,quddiem,0.0008241341
119,0,persuni,0.000821127
120,0,gej,0.00082055485
121,0,bce,0.0008153526
122,0,istess,0.00080464385
